,session,term,classification1,classification2,filter,tab,"E(A,N)","E(P,N)","E(P,A)","J(A,N)","J(P,N)","J(P,A)","S(A,N)","S(P,N)","S(P,A)"
0,r_010_p,Articulacao,Issues,Informative,,top_tab,10,10,6,0.17647058823529413,0.17647058823529413,0.6666666666666666,0.062111676,0.062426835,0.45392305
1,r_010_p,Articulacao,Issues,Informative,,most_recent_tab,0,0,0,1.0,1.0,1.0,0.99982923,0.99982923,0.99982536
2,r_010_p,Articulacao,Issues,Informative,,people_tab,0,0,0,1.0,1.0,1.0,0.99963814,0.99963814,0.99962986
3,r_010_p,Articulacao,Issues,Informative,,photos_tab,10,10,0,0.0,0.0,1.0,0.067786455,0.067786455,0.999776
4,r_010_p,Articulacao,Issues,Informative,,videos_tab,8,8,0,0.42857142857142855,0.42857142857142855,1.0,0.11044912,0.11044912,0.9997213
5,r_010_p,Articulacao,Issues,Informative,until_2019-03-22,top_tab,10,10,0,0.1111111111111111,0.1111111111111111,1.0,0.13497551,0.13497551,0.9997509
6,r_010_p,Articulacao,Issues,Informative,until_2019-03-22,most_recent_tab,0,0,0,1.0,1.0,1.0,0.9998368,0.9998368,0.99983305
7,r_010_p,Articulacao,Issues,Informative,until_2019-03-22,people_tab,0,0,0,1.0,1.0,1.0,0.99963814,0.99963814,0.99962986
8,r_010_p,Articulacao,Issues,Informative,until_2019-03-22,photos_tab,10,10,0,0.05263157894736842,0.05263157894736842,1.0,0.08418313,0.08418313,0.9998005
9,r_010_p,Articulacao,Issues,Informative,until_2019-03-22,videos_tab,10,10,0,0.25,0.25,1.0,0.11505054,0.11505054,0.9996771
10,r_010_p,Articulacao,Issues,Informative,since_2019-03-22-until_2019-03-24,top_tab,10,10,0,0.17647058823529413,0.17647058823529413,1.0,0.09700045,0.09700045,0.9996947
11,r_010_p,Articulacao,Issues,Informative,since_2019-03-22-until_2019-03-24,most_recent_tab,0,0,0,1.0,1.0,1.0,0.9997769,0.9997769,0.99977183
12,r_010_p,Articulacao,Issues,Informative,since_2019-03-22-until_2019-03-24,people_tab,0,0,0,1.0,1.0,1.0,0.99963814,0.99963814,0.99962986
13,r_010_p,Articulacao,Issues,Informative,since_2019-03-22-until_2019-03-24,photos_tab,10,10,0,0.0,0.0,1.0,0.15821259,0.15821259,0.9997673
14,r_010_p,Articulacao,Issues,Informative,since_2019-03-22-until_2019-03-24,videos_tab,7,7,0,1.0,1.0,1.0,0.4014094,0.4014094,0.99979645
15,r_010_p,Articulacao,Issues,Informative,since_2019-03-24,top_tab,10,10,0,0.0,0.0,1.0,0.06460422,0.06460422,0.9996922
16,r_010_p,Articulacao,Issues,Informative,since_2019-03-24,most_recent_tab,0,0,0,1.0,1.0,1.0,0.99982923,0.99982923,0.99982536
17,r_010_p,Articulacao,Issues,Informative,since_2019-03-24,people_tab,0,0,0,1.0,1.0,1.0,0.99963814,0.99963814,0.99962986
18,r_010_p,Articulacao,Issues,Informative,since_2019-03-24,photos_tab,10,10,0,0.0,0.0,1.0,0.052339405,0.052339405,0.9997308
19,r_010_p,Articulacao,Issues,Informative,since_2019-03-24,videos_tab,8,8,0,0.42857142857142855,0.42857142857142855,1.0,0.13735226,0.13735226,0.9996821
20,r_010_p,#OuReformaOuQuebra,Issues,Opinion,,top_tab,10,10,0,0.25,0.25,1.0,0.18820994,0.18820994,0.99971473
21,r_010_p,#OuReformaOuQuebra,Issues,Opinion,,most_recent_tab,0,0,0,1.0,1.0,1.0,0.99982184,0.99982184,0.9998178
23,r_010_p,#OuReformaOuQuebra,Issues,Opinion,,photos_tab,10,10,0,0.3333333333333333,0.3333333333333333,1.0,0.27757233,0.27757233,0.9996936
24,r_010_p,#OuReformaOuQuebra,Issues,Opinion,,videos_tab,9,9,0,0.1111111111111111,0.1111111111111111,1.0,0.32771802,0.32771802,0.99975204
30,r_010_p,#OuReformaOuQuebra,Issues,Opinion,since_2019-03-22-until_2019-03-24,top_tab,9,9,0,0.3333333333333333,0.3333333333333333,1.0,0.30013752,0.30013752,0.99979115
31,r_010_p,#OuReformaOuQuebra,Issues,Opinion,since_2019-03-22-until_2019-03-24,most_recent_tab,0,0,0,1.0,1.0,1.0,0.9998147,0.9998147,0.99981046
